Domain,Base Domain,Canonical URL,Agency,Branch,Participates in DAP?
dra.gov,dra.gov,http://dra.gov,Delta Regional Authority,Executive,No
funding.dra.gov,dra.gov,http://funding.dra.gov,Delta Regional Authority,Executive,No
mail4.dra.gov,dra.gov,http://mail4.dra.gov,Delta Regional Authority,Executive,No
beta.drought.gov,drought.gov,https://beta.drought.gov,Department of Commerce,Executive,No
drought.gov,drought.gov,https://www.drought.gov,Department of Commerce,Executive,Yes
archives.drugabuse.gov,drugabuse.gov,https://archives.drugabuse.gov,Department of Health And Human Services,Executive,No
backtoschool.drugabuse.gov,drugabuse.gov,http://backtoschool.drugabuse.gov,Department of Health And Human Services,Executive,No
cde.drugabuse.gov,drugabuse.gov,https://cde.drugabuse.gov,Department of Health And Human Services,Executive,No
demo.drugabuse.gov,drugabuse.gov,https://demo.drugabuse.gov,Department of Health And Human Services,Executive,Yes
demo.www.drugabuse.gov,drugabuse.gov,http://demo.www.drugabuse.gov,Department of Health And Human Services,Executive,No
dev.international.drugabuse.gov,drugabuse.gov,http://dev.international.drugabuse.gov,Department of Health And Human Services,Executive,No
drugabuse.gov,drugabuse.gov,https://www.drugabuse.gov,Department of Health And Human Services,Executive,Yes
drugfactsweek.drugabuse.gov,drugabuse.gov,http://drugfactsweek.drugabuse.gov,Department of Health And Human Services,Executive,No
drugpubs.drugabuse.gov,drugabuse.gov,https://drugpubs.drugabuse.gov,Department of Health And Human Services,Executive,No
easyread.drugabuse.gov,drugabuse.gov,https://easyread.drugabuse.gov,Department of Health And Human Services,Executive,No
hiv.drugabuse.gov,drugabuse.gov,https://hiv.drugabuse.gov,Department of Health And Human Services,Executive,No
inhalants.drugabuse.gov,drugabuse.gov,http://www.inhalants.drugabuse.gov,Department of Health And Human Services,Executive,No
international.drugabuse.gov,drugabuse.gov,http://www.international.drugabuse.gov,Department of Health And Human Services,Executive,No
irp.drugabuse.gov,drugabuse.gov,https://irp.drugabuse.gov,Department of Health And Human Services,Executive,No
m.drugabuse.gov,drugabuse.gov,http://m.drugabuse.gov,Department of Health And Human Services,Executive,No
researchstudies.drugabuse.gov,drugabuse.gov,https://researchstudies.drugabuse.gov,Department of Health And Human Services,Executive,No
smoking.drugabuse.gov,drugabuse.gov,http://www.smoking.drugabuse.gov,Department of Health And Human Services,Executive,No
teens.drugabuse.gov,drugabuse.gov,https://teens.drugabuse.gov,Department of Health And Human Services,Executive,No
ww1.drugabuse.gov,drugabuse.gov,http://ww1.drugabuse.gov,Department of Health And Human Services,Executive,No
www.backtoschool.drugabuse.gov,drugabuse.gov,http://www.backtoschool.drugabuse.gov,Department of Health And Human Services,Executive,No
www.drugfactsweek.drugabuse.gov,drugabuse.gov,http://www.drugfactsweek.drugabuse.gov,Department of Health And Human Services,Executive,No
www.easyread.drugabuse.gov,drugabuse.gov,https://www.easyread.drugabuse.gov,Department of Health And Human Services,Executive,No
www.inhalants.drugabuse.gov,drugabuse.gov,http://www.inhalants.drugabuse.gov,Department of Health And Human Services,Executive,No
www.international.drugabuse.gov,drugabuse.gov,http://www.international.drugabuse.gov,Department of Health And Human Services,Executive,No
www.irp.drugabuse.gov,drugabuse.gov,https://www.irp.drugabuse.gov,Department of Health And Human Services,Executive,No
www.researchstudies.drugabuse.gov,drugabuse.gov,https://www.researchstudies.drugabuse.gov,Department of Health And Human Services,Executive,No
www.smoking.drugabuse.gov,drugabuse.gov,http://www.smoking.drugabuse.gov,Department of Health And Human Services,Executive,No
www.teens.drugabuse.gov,drugabuse.gov,https://www.teens.drugabuse.gov,Department of Health And Human Services,Executive,No
dsac.gov,dsac.gov,https://www.dsac.gov,Department of Justice,Executive,No
kms.dsac.gov,dsac.gov,https://kms.dsac.gov,Department of Justice,Executive,No
portal.dsac.gov,dsac.gov,https://portal.dsac.gov,Department of Justice,Executive,No
e-enterprise.gov,e-enterprise.gov,https://e-enterprise.gov,Environmental Protection Agency,Executive,Yes
archives.eac.gov,eac.gov,http://archives.eac.gov,General Services Administration,Executive,No
eac.gov,eac.gov,https://www.eac.gov,General Services Administration,Executive,No
opengov.eac.gov,eac.gov,http://opengov.eac.gov,General Services Administration,Executive,No
origin-www.eac.gov,eac.gov,https://origin-www.eac.gov,General Services Administration,Executive,No
vvsg.eac.gov,eac.gov,http://vvsg.eac.gov,General Services Administration,Executive,No
dynamic.economicinclusion.gov,economicinclusion.gov,http://dynamic.economicinclusion.gov,Federal Deposit Insurance Corporation,Executive,No
economicinclusion.gov,economicinclusion.gov,https://economicinclusion.gov,Federal Deposit Insurance Corporation,Executive,No
econsumer.gov,econsumer.gov,https://econsumer.gov,Federal Trade Commission,Executive,Yes
ecopartnerships.gov,ecopartnerships.gov,http://ecopartnerships.gov,Department of State,Executive,No
agency.ecpic.gov,ecpic.gov,https://agency.ecpic.gov,General Services Administration,Executive,Yes
demo.ecpic.gov,ecpic.gov,https://demo.ecpic.gov,General Services Administration,Executive,Yes
doc.ecpic.gov,ecpic.gov,https://doc.ecpic.gov,General Services Administration,Executive,Yes
doctest.ecpic.gov,ecpic.gov,https://doctest.ecpic.gov,General Services Administration,Executive,Yes
doe.ecpic.gov,ecpic.gov,https://doe.ecpic.gov,General Services Administration,Executive,Yes
doetest.ecpic.gov,ecpic.gov,https://doetest.ecpic.gov,General Services Administration,Executive,Yes
doi.ecpic.gov,ecpic.gov,https://doi.ecpic.gov,General Services Administration,Executive,Yes
doitest.ecpic.gov,ecpic.gov,https://doitest.ecpic.gov,General Services Administration,Executive,Yes
doj.ecpic.gov,ecpic.gov,https://doj.ecpic.gov,General Services Administration,Executive,Yes
dojtest.ecpic.gov,ecpic.gov,https://dojtest.ecpic.gov,General Services Administration,Executive,Yes
dol.ecpic.gov,ecpic.gov,https://dol.ecpic.gov,General Services Administration,Executive,Yes
doltest.ecpic.gov,ecpic.gov,https://doltest.ecpic.gov,General Services Administration,Executive,Yes
ecpic.gov,ecpic.gov,https://www.ecpic.gov,General Services Administration,Executive,Yes
ed.ecpic.gov,ecpic.gov,https://ed.ecpic.gov,General Services Administration,Executive,Yes
edtest.ecpic.gov,ecpic.gov,https://edtest.ecpic.gov,General Services Administration,Executive,No
epa.ecpic.gov,ecpic.gov,https://epa.ecpic.gov,General Services Administration,Executive,Yes
epatest.ecpic.gov,ecpic.gov,https://epatest.ecpic.gov,General Services Administration,Executive,Yes
gsa.ecpic.gov,ecpic.gov,https://gsa.ecpic.gov,General Services Administration,Executive,Yes
gsatest.ecpic.gov,ecpic.gov,https://gsatest.ecpic.gov,General Services Administration,Executive,Yes
hud.ecpic.gov,ecpic.gov,https://hud.ecpic.gov,General Services Administration,Executive,Yes
hudtest.ecpic.gov,ecpic.gov,https://hudtest.ecpic.gov,General Services Administration,Executive,No
main.ecpic.gov,ecpic.gov,https://main.ecpic.gov,General Services Administration,Executive,Yes
maintest.ecpic.gov,ecpic.gov,https://maintest.ecpic.gov,General Services Administration,Executive,Yes
nara.ecpic.gov,ecpic.gov,https://nara.ecpic.gov,General Services Administration,Executive,Yes
naratest.ecpic.gov,ecpic.gov,https://naratest.ecpic.gov,General Services Administration,Executive,No
nasa.ecpic.gov,ecpic.gov,https://nasa.ecpic.gov,General Services Administration,Executive,Yes
nasatest.ecpic.gov,ecpic.gov,https://nasatest.ecpic.gov,General Services Administration,Executive,No
nrc.ecpic.gov,ecpic.gov,https://nrc.ecpic.gov,General Services Administration,Executive,Yes
nrctest.ecpic.gov,ecpic.gov,https://nrctest.ecpic.gov,General Services Administration,Executive,No
opm.ecpic.gov,ecpic.gov,https://opm.ecpic.gov,General Services Administration,Executive,Yes
opmtest.ecpic.gov,ecpic.gov,https://opmtest.ecpic.gov,General Services Administration,Executive,No
sba.ecpic.gov,ecpic.gov,https://sba.ecpic.gov,General Services Administration,Executive,Yes
sbatest.ecpic.gov,ecpic.gov,https://sbatest.ecpic.gov,General Services Administration,Executive,No
sec.ecpic.gov,ecpic.gov,https://sec.ecpic.gov,General Services Administration,Executive,Yes
sectest.ecpic.gov,ecpic.gov,https://sectest.ecpic.gov,General Services Administration,Executive,No
ssa.ecpic.gov,ecpic.gov,https://ssa.ecpic.gov,General Services Administration,Executive,Yes
ssatest.ecpic.gov,ecpic.gov,https://ssatest.ecpic.gov,General Services Administration,Executive,No
training.ecpic.gov,ecpic.gov,https://training.ecpic.gov,General Services Administration,Executive,Yes
usace.ecpic.gov,ecpic.gov,https://usace.ecpic.gov,General Services Administration,Executive,Yes
usacetest.ecpic.gov,ecpic.gov,https://usacetest.ecpic.gov,General Services Administration,Executive,No
usaid.ecpic.gov,ecpic.gov,https://usaid.ecpic.gov,General Services Administration,Executive,Yes
usaidtest.ecpic.gov,ecpic.gov,https://usaidtest.ecpic.gov,General Services Administration,Executive,Yes
va.ecpic.gov,ecpic.gov,https://va.ecpic.gov,General Services Administration,Executive,Yes
vatest.ecpic.gov,ecpic.gov,https://vatest.ecpic.gov,General Services Administration,Executive,Yes
projects.ecr.gov,ecr.gov,http://projects.ecr.gov,Morris K. Udall Foundation,Executive,No
sts.ecr.gov,ecr.gov,http://sts.ecr.gov,Morris K. Udall Foundation,Executive,No
21apr.ed.gov,ed.gov,https://21apr.ed.gov,Department of Education,Executive,No
acc.fafsa.ed.gov,ed.gov,https://acc.fafsa.ed.gov,Department of Education,Executive,No
acc.fafsacm.ed.gov,ed.gov,https://acc.fafsacm.ed.gov,Department of Education,Executive,No
accfaaaccess.ed.gov,ed.gov,http://accfaaaccess.ed.gov,Department of Education,Executive,No
admin.securitytouch.ed.gov,ed.gov,http://admin.securitytouch.ed.gov,Department of Education,Executive,No
adultedcontentstandards.ed.gov,ed.gov,http://adultedcontentstandards.ed.gov,Department of Education,Executive,No
analytics.cod.ed.gov,ed.gov,https://analytics.cod.ed.gov,Department of Education,Executive,No
answers.ed.gov,ed.gov,http://answers.ed.gov,Department of Education,Executive,Yes
anywhere.ed.gov,ed.gov,https://anywhere.ed.gov,Department of Education,Executive,No
anywheredrf.ed.gov,ed.gov,https://anywheredrf.ed.gov,Department of Education,Executive,No
apr.ed.gov,ed.gov,http://apr.ed.gov,Department of Education,Executive,No
arts.ed.gov,ed.gov,https://arts.ed.gov,Department of Education,Executive,No
auth.lincs.ed.gov,ed.gov,https://auth.lincs.ed.gov,Department of Education,Executive,No
autodiscover.ed.gov,ed.gov,http://autodiscover.ed.gov,Department of Education,Executive,No
blog.ed.gov,ed.gov,https://blog.ed.gov,Department of Education,Executive,Yes
borrowerdischarge.ed.gov,ed.gov,https://borrowerdischarge.ed.gov,Department of Education,Executive,No
cape.nationalblueribbonschools.ed.gov,ed.gov,http://cape.nationalblueribbonschools.ed.gov,Department of Education,Executive,No
cbfisap.ed.gov,ed.gov,https://cbfisap.ed.gov,Department of Education,Executive,No
ceds.ed.gov,ed.gov,https://ceds.ed.gov,Department of Education,Executive,Yes
childstats.ed.gov,ed.gov,http://childstats.ed.gov,Department of Education,Executive,No
cod.ed.gov,ed.gov,https://cod.ed.gov,Department of Education,Executive,No
codreports.cod.ed.gov,ed.gov,http://codreports.cod.ed.gov,Department of Education,Executive,No
collegecost.ed.gov,ed.gov,https://collegecost.ed.gov,Department of Education,Executive,Yes
collegenavigator.ed.gov,ed.gov,http://collegenavigator.ed.gov,Department of Education,Executive,No
collegescorecard.ed.gov,ed.gov,https://collegescorecard.ed.gov,Department of Education,Executive,Yes
community.lincs.ed.gov,ed.gov,https://community.lincs.ed.gov,Department of Education,Executive,Yes
crdc.ed.gov,ed.gov,http://crdc.ed.gov,Department of Education,Executive,No
cte.ed.gov,ed.gov,http://cte.ed.gov,Department of Education,Executive,No
ctecenter.ed.gov,ed.gov,http://ctecenter.ed.gov,Department of Education,Executive,No
customersupport.cod.ed.gov,ed.gov,https://customersupport.cod.ed.gov,Department of Education,Executive,No
dashboard.ed.gov,ed.gov,https://dashboard.ed.gov,Department of Education,Executive,Yes
datainventory.ed.gov,ed.gov,http://datainventory.ed.gov,Department of Education,Executive,Yes
datareview.msix.ed.gov,ed.gov,https://datareview.msix.ed.gov,Department of Education,Executive,No
debug.fafsa.ed.gov,ed.gov,https://debug.fafsa.ed.gov,Department of Education,Executive,No
direct.ed.gov,ed.gov,http://direct.ed.gov,Department of Education,Executive,No
directloanimages.ed.gov,ed.gov,http://directloanimages.ed.gov,Department of Education,Executive,No
dmcseddebt.ed.gov,ed.gov,https://dmcseddebt.ed.gov,Department of Education,Executive,No
dmcsnpv01.ed.gov,ed.gov,https://dmcsnpv01.ed.gov,Department of Education,Executive,No
dmcspv01.ed.gov,ed.gov,https://dmcspv01.ed.gov,Department of Education,Executive,No
dmcspv02.ed.gov,ed.gov,https://dmcspv02.ed.gov,Department of Education,Executive,No
dr.msix.ed.gov,ed.gov,https://dr.msix.ed.gov,Department of Education,Executive,No
eaiweb.ed.gov,ed.gov,https://eaiweb.ed.gov,Department of Education,Executive,No
ecdrappeals.ed.gov,ed.gov,https://ecdrappeals.ed.gov,Department of Education,Executive,No
ed.gov,ed.gov,https://www.ed.gov,Department of Education,Executive,Yes
eddataexpress.ed.gov,ed.gov,http://eddataexpress.ed.gov,Department of Education,Executive,Yes
eden.ed.gov,ed.gov,http://eden.ed.gov,Department of Education,Executive,No
edfacts.ed.gov,ed.gov,https://edfacts.ed.gov,Department of Education,Executive,No
edhires.ed.gov,ed.gov,http://edhires.ed.gov,Department of Education,Executive,No
edpubs.ed.gov,ed.gov,http://edpubs.ed.gov,Department of Education,Executive,No
edstream.ed.gov,ed.gov,http://edstream.ed.gov,Department of Education,Executive,No
eligcert.ed.gov,ed.gov,https://eligcert.ed.gov,Department of Education,Executive,No
eligcertforeignupload.ed.gov,ed.gov,https://eligcertforeignupload.ed.gov,Department of Education,Executive,No
email.ed.gov,ed.gov,http://email.ed.gov,Department of Education,Executive,No
emaps.ed.gov,ed.gov,https://emaps.ed.gov,Department of Education,Executive,No
eric.ed.gov,ed.gov,https://eric.ed.gov,Department of Education,Executive,Yes
experimentalsites.ed.gov,ed.gov,https://experimentalsites.ed.gov,Department of Education,Executive,No
ezaudit.ed.gov,ed.gov,https://ezaudit.ed.gov,Department of Education,Executive,No
faaaccess.ed.gov,ed.gov,https://faaaccess.ed.gov,Department of Education,Executive,No
fafsa.ed.gov,ed.gov,https://fafsa.ed.gov,Department of Education,Executive,No
fafsa4caster.ed.gov,ed.gov,https://fafsa4caster.ed.gov,Department of Education,Executive,No
fafsademo.test.ed.gov,ed.gov,https://fafsademo.test.ed.gov,Department of Education,Executive,No
familypolicy.ed.gov,ed.gov,http://familypolicy.ed.gov,Department of Education,Executive,No
federalombuds.ed.gov,ed.gov,http://federalombuds.ed.gov,Department of Education,Executive,No
federalstudentaid.ed.gov,ed.gov,http://federalstudentaid.ed.gov,Department of Education,Executive,No
feedback.studentaid.ed.gov,ed.gov,https://feedback.studentaid.ed.gov,Department of Education,Executive,No
files.eric.ed.gov,ed.gov,http://files.eric.ed.gov,Department of Education,Executive,No
financialaidtoolkit.ed.gov,ed.gov,https://financialaidtoolkit.ed.gov,Department of Education,Executive,No
findit.ed.gov,ed.gov,https://findit.ed.gov,Department of Education,Executive,Yes
fipsedatabase.ed.gov,ed.gov,https://fipsedatabase.ed.gov,Department of Education,Executive,No
fp-mart.ed.gov,ed.gov,https://fp-mart.ed.gov,Department of Education,Executive,No
fp-mart.sfa.ed.gov,ed.gov,http://fp-mart.sfa.ed.gov,Department of Education,Executive,No
fp.ed.gov,ed.gov,https://fp.ed.gov,Department of Education,Executive,No
fsa-fms.ed.gov,ed.gov,http://fsa-fms.ed.gov,Department of Education,Executive,No
fsa.ed.gov,ed.gov,http://fsa.ed.gov,Department of Education,Executive,No
fsacitrixweb.ed.gov,ed.gov,https://fsacitrixweb.ed.gov,Department of Education,Executive,No
fsaconferences.ed.gov,ed.gov,http://fsaconferences.ed.gov,Department of Education,Executive,No
fsadatacenter.ed.gov,ed.gov,http://fsadatacenter.ed.gov,Department of Education,Executive,No
fsadownload.ed.gov,ed.gov,https://www.fsadownload.ed.gov,Department of Education,Executive,No
fsaid.ed.gov,ed.gov,https://fsaid.ed.gov,Department of Education,Executive,Yes
fsaregistration.ed.gov,ed.gov,https://fsaregistration.ed.gov,Department of Education,Executive,No
fsavdc.ed.gov,ed.gov,https://fsavdc.ed.gov,Department of Education,Executive,No
fsawebenroll.ed.gov,ed.gov,https://fsawebenroll.ed.gov,Department of Education,Executive,No
gotowork.ed.gov,ed.gov,https://gotowork.ed.gov,Department of Education,Executive,No
hbcuccraa.apr.ed.gov,ed.gov,http://hbcuccraa.apr.ed.gov,Department of Education,Executive,No
higheredcenter.ed.gov,ed.gov,http://higheredcenter.ed.gov,Department of Education,Executive,No
i3community.ed.gov,ed.gov,https://i3community.ed.gov,Department of Education,Executive,Yes
ies.ed.gov,ed.gov,http://ies.ed.gov,Department of Education,Executive,Yes
iesreview.ed.gov,ed.gov,https://iesreview.ed.gov,Department of Education,Executive,No
ifap.ed.gov,ed.gov,https://ifap.ed.gov,Department of Education,Executive,Yes
innovation.ed.gov,ed.gov,https://innovation.ed.gov,Department of Education,Executive,Yes
ipm.ed.gov,ed.gov,https://ipm.ed.gov,Department of Education,Executive,No
iris.ed.gov,ed.gov,http://iris.ed.gov,Department of Education,Executive,No
itacsfsawebenroll.ed.gov,ed.gov,https://itacsfsawebenroll.ed.gov,Department of Education,Executive,No
jobsearch.edhires.ed.gov,ed.gov,http://jobsearch.edhires.ed.gov,Department of Education,Executive,No
jobview.edhires.ed.gov,ed.gov,http://jobview.edhires.ed.gov,Department of Education,Executive,No
learner.lincs.ed.gov,ed.gov,https://learner.lincs.ed.gov,Department of Education,Executive,No
liaison.nationalblueribbonschools.ed.gov,ed.gov,http://liaison.nationalblueribbonschools.ed.gov,Department of Education,Executive,No
lincs.ed.gov,ed.gov,https://lincs.ed.gov,Department of Education,Executive,Yes
listserv.ed.gov,ed.gov,http://listserv.ed.gov,Department of Education,Executive,No
members.nces.ed.gov,ed.gov,https://members.nces.ed.gov,Department of Education,Executive,No
mfa.ies.ed.gov,ed.gov,https://mfa.ies.ed.gov,Department of Education,Executive,No
microstrategy.ed.gov,ed.gov,https://microstrategy.ed.gov,Department of Education,Executive,No
mobileconsole.ed.gov,ed.gov,https://mobileconsole.ed.gov,Department of Education,Executive,No
mobiledevices.ed.gov,ed.gov,https://mobiledevices.ed.gov,Department of Education,Executive,No
msix.ed.gov,ed.gov,https://msix.ed.gov,Department of Education,Executive,No
myeddebt.ed.gov,ed.gov,https://myeddebt.ed.gov,Department of Education,Executive,No
nationalblueribbonschools.ed.gov,ed.gov,http://nationalblueribbonschools.ed.gov,Department of Education,Executive,No
nationsreportcard.ed.gov,ed.gov,http://nationsreportcard.ed.gov,Department of Education,Executive,No
ncela.ed.gov,ed.gov,http://ncela.ed.gov,Department of Education,Executive,No
nces.ed.gov,ed.gov,http://nces.ed.gov,Department of Education,Executive,Yes
nche.ed.gov,ed.gov,http://nche.ed.gov,Department of Education,Executive,No
ncrtm.ed.gov,ed.gov,http://ncrtm.ed.gov,Department of Education,Executive,No
nslds.ed.gov,ed.gov,https://nslds.ed.gov,Department of Education,Executive,Yes
nsldsfap.ed.gov,ed.gov,https://nsldsfap.ed.gov,Department of Education,Executive,No
nsldstraining.ed.gov,ed.gov,https://nsldstraining.ed.gov,Department of Education,Executive,No
ocrcas.dr.ed.gov,ed.gov,http://ocrcas.dr.ed.gov,Department of Education,Executive,No
ocrcas.ed.gov,ed.gov,https://ocrcas.ed.gov,Department of Education,Executive,Yes
ocrdata.ed.gov,ed.gov,http://ocrdata.ed.gov,Department of Education,Executive,Yes
octs.ed.gov,ed.gov,http://www.octs.ed.gov,Department of Education,Executive,No
octsdev.ed.gov,ed.gov,http://octsdev.ed.gov,Department of Education,Executive,No
octstst.ed.gov,ed.gov,http://octstst.ed.gov,Department of Education,Executive,No
oha.ed.gov,ed.gov,http://oha.ed.gov,Department of Education,Executive,No
oighotline.ed.gov,ed.gov,http://oighotline.ed.gov,Department of Education,Executive,No
ope.ed.gov,ed.gov,https://ope.ed.gov,Department of Education,Executive,Yes
opeweb.ed.gov,ed.gov,https://opeweb.ed.gov,Department of Education,Executive,No
origin2-ifapmedia.ed.gov,ed.gov,http://origin2-ifapmedia.ed.gov,Department of Education,Executive,No
partners.ed.gov,ed.gov,https://partners.ed.gov,Department of Education,Executive,No
pdp.ed.gov,ed.gov,http://pdp.ed.gov,Department of Education,Executive,No
perf.fafsa20.ed.gov,ed.gov,https://perf.fafsa20.ed.gov,Department of Education,Executive,No
perkins.ed.gov,ed.gov,http://perkins.ed.gov,Department of Education,Executive,No
pin.ed.gov,ed.gov,https://pin.ed.gov,Department of Education,Executive,No
portal.nationalblueribbonschools.ed.gov,ed.gov,http://portal.nationalblueribbonschools.ed.gov,Department of Education,Executive,No
promiseneighborhoods.ed.gov,ed.gov,https://promiseneighborhoods.ed.gov,Department of Education,Executive,No
ptac.ed.gov,ed.gov,http://ptac.ed.gov,Department of Education,Executive,No
reactsmsix.ed.gov,ed.gov,http://reactsmsix.ed.gov,Department of Education,Executive,No
rems.ed.gov,ed.gov,http://rems.ed.gov,Department of Education,Executive,Yes
respuestas.ed.gov,ed.gov,http://respuestas.ed.gov,Department of Education,Executive,No
results.ed.gov,ed.gov,https://results.ed.gov,Department of Education,Executive,No
rsa.drf.ed.gov,ed.gov,http://rsa.drf.ed.gov,Department of Education,Executive,No
rsa.ed.gov,ed.gov,https://rsa.ed.gov,Department of Education,Executive,No
rsanisat.ed.gov,ed.gov,http://rsanisat.ed.gov,Department of Education,Executive,No
sa.ed.gov,ed.gov,https://sa.ed.gov,Department of Education,Executive,No
safesupportivelearning.ed.gov,ed.gov,https://safesupportivelearning.ed.gov,Department of Education,Executive,No
safesupportiveschools.ed.gov,ed.gov,http://safesupportiveschools.ed.gov,Department of Education,Executive,No
secureauth.ed.gov,ed.gov,http://secureauth.ed.gov,Department of Education,Executive,No
securitytouch.ed.gov,ed.gov,https://securitytouch.ed.gov,Department of Education,Executive,No
sites.ed.gov,ed.gov,https://sites.ed.gov,Department of Education,Executive,Yes
stage.cbfisap.ed.gov,ed.gov,http://stage.cbfisap.ed.gov,Department of Education,Executive,No
stage.nslds.ed.gov,ed.gov,http://stage.nslds.ed.gov,Department of Education,Executive,No
stage.studentloans.ed.gov,ed.gov,http://stage.studentloans.ed.gov,Department of Education,Executive,No
stage.tcli.ed.gov,ed.gov,https://stage.tcli.ed.gov,Department of Education,Executive,No
sts.ed.gov,ed.gov,http://sts.ed.gov,Department of Education,Executive,No
studentaid.ed.gov,ed.gov,http://studentaid.ed.gov,Department of Education,Executive,Yes
studentaidhelp-es.ed.gov,ed.gov,https://studentaidhelp-es.ed.gov,Department of Education,Executive,No
studentaidhelp.ed.gov,ed.gov,https://studentaidhelp.ed.gov,Department of Education,Executive,No
surveys.ies.ed.gov,ed.gov,https://surveys.ies.ed.gov,Department of Education,Executive,No
surveys.nces.ed.gov,ed.gov,https://surveys.nces.ed.gov,Department of Education,Executive,Yes
surveys.ope.ed.gov,ed.gov,https://surveys.ope.ed.gov,Department of Education,Executive,No
tcli.ed.gov,ed.gov,https://tcli.ed.gov,Department of Education,Executive,No
teal.ed.gov,ed.gov,https://teal.ed.gov,Department of Education,Executive,No
tech.ed.gov,ed.gov,https://tech.ed.gov,Department of Education,Executive,Yes
test-ep.ed.gov,ed.gov,http://test-ep.ed.gov,Department of Education,Executive,No
test.ise.ed.gov,ed.gov,http://test.ise.ed.gov,Department of Education,Executive,Yes
test.msix.ed.gov,ed.gov,https://test.msix.ed.gov,Department of Education,Executive,No
test2.fafsa.ed.gov,ed.gov,https://test2.fafsa.ed.gov,Department of Education,Executive,No
test21apr.ed.gov,ed.gov,https://test21apr.ed.gov,Department of Education,Executive,No
testecdrappeals.ed.gov,ed.gov,http://testecdrappeals.ed.gov,Department of Education,Executive,No
testfsaid.ed.gov,ed.gov,https://testfsaid.ed.gov,Department of Education,Executive,No
testsa.ed.gov,ed.gov,http://testsa.ed.gov,Department of Education,Executive,No
teststudentaid.ed.gov,ed.gov,http://teststudentaid.ed.gov,Department of Education,Executive,Yes
tfa-auth.ed.gov,ed.gov,https://tfa-auth.ed.gov,Department of Education,Executive,No
tfaed.ed.gov,ed.gov,https://tfaed.ed.gov,Department of Education,Executive,No
title2.ed.gov,ed.gov,https://title2.ed.gov,Department of Education,Executive,No
train21apr.ed.gov,ed.gov,http://train21apr.ed.gov,Department of Education,Executive,No
training.msix.ed.gov,ed.gov,https://training.msix.ed.gov,Department of Education,Executive,No
training2.msix.ed.gov,ed.gov,https://training2.msix.ed.gov,Department of Education,Executive,No
trio.ed.gov,ed.gov,https://trio.ed.gov,Department of Education,Executive,No
trn.dmcseddebt.ed.gov,ed.gov,https://trn.dmcseddebt.ed.gov,Department of Education,Executive,No
uatfsaid.ed.gov,ed.gov,https://uatfsaid.ed.gov,Department of Education,Executive,No
vdcsupport.ed.gov,ed.gov,https://vdcsupport.ed.gov,Department of Education,Executive,No
vipssp.dmcseddebt.ed.gov,ed.gov,https://vipssp.dmcseddebt.ed.gov,Department of Education,Executive,No
vpp.ed.gov,ed.gov,http://vpp.ed.gov,Department of Education,Executive,No
wdcrobcolp01.ed.gov,ed.gov,http://wdcrobcolp01.ed.gov,Department of Education,Executive,No
whatworks.ed.gov,ed.gov,http://whatworks.ed.gov,Department of Education,Executive,No
www.cbfisap.ed.gov,ed.gov,http://www.cbfisap.ed.gov,Department of Education,Executive,No
www.childstats.ed.gov,ed.gov,http://www.childstats.ed.gov,Department of Education,Executive,No
www.collegecost.ed.gov,ed.gov,http://www.collegecost.ed.gov,Department of Education,Executive,No
www.direct.ed.gov,ed.gov,http://www.direct.ed.gov,Department of Education,Executive,No
www.dmcseddebt.ed.gov,ed.gov,https://www.dmcseddebt.ed.gov,Department of Education,Executive,No
www.edhires.ed.gov,ed.gov,http://www.edhires.ed.gov,Department of Education,Executive,No
www.eligcert.ed.gov,ed.gov,http://www.eligcert.ed.gov,Department of Education,Executive,No
www.eric.ed.gov,ed.gov,http://www.eric.ed.gov,Department of Education,Executive,No
www.ezaudit.ed.gov,ed.gov,http://www.ezaudit.ed.gov,Department of Education,Executive,No
www.faaaccess.ed.gov,ed.gov,http://www.faaaccess.ed.gov,Department of Education,Executive,No
www.fafsa.ed.gov,ed.gov,https://www.fafsa.ed.gov,Department of Education,Executive,No
www.fafsa4caster.ed.gov,ed.gov,https://www.fafsa4caster.ed.gov,Department of Education,Executive,No
www.federalstudentaid.ed.gov,ed.gov,http://www.federalstudentaid.ed.gov,Department of Education,Executive,No
www.financialaidtoolkit.ed.gov,ed.gov,http://www.financialaidtoolkit.ed.gov,Department of Education,Executive,No
www.fp.ed.gov,ed.gov,https://www.fp.ed.gov,Department of Education,Executive,No
www.fsa-fmstest2.ed.gov,ed.gov,http://www.fsa-fmstest2.ed.gov,Department of Education,Executive,No
www.fsa-remote.ed.gov,ed.gov,https://www.fsa-remote.ed.gov,Department of Education,Executive,No
www.fsa.ed.gov,ed.gov,http://www.fsa.ed.gov,Department of Education,Executive,No
www.fsaconferences.ed.gov,ed.gov,http://www.fsaconferences.ed.gov,Department of Education,Executive,No
www.fsadatacenter.ed.gov,ed.gov,http://www.fsadatacenter.ed.gov,Department of Education,Executive,No
www.fsadownload.ed.gov,ed.gov,https://www.fsadownload.ed.gov,Department of Education,Executive,No
www.fsaregistration.ed.gov,ed.gov,http://www.fsaregistration.ed.gov,Department of Education,Executive,No
www.i3community.ed.gov,ed.gov,https://www.i3community.ed.gov,Department of Education,Executive,No
www.ies.ed.gov,ed.gov,http://www.ies.ed.gov,Department of Education,Executive,No
www.ifap.ed.gov,ed.gov,https://www.ifap.ed.gov,Department of Education,Executive,No
